requested_density,run,initial_fuel,final_fuel,burned_fuel,burn_fraction,duration_generations,peak_active_fire,peak_active_fraction,time_to_peak,max_burn_rate,dynamic_frames,initial_grass,burned_grass_fraction,initial_bush,burned_bush_fraction,initial_tree,burned_tree_fraction
65.0,1,170284.0,170249.0,35.0,0.00020553898193605976,7.0,25.0,0.00014681355852575698,2.0,5.872542341030279e-05,8,56933.0,0.0003161611016457942,56777.0,0.0001761276573260299,56574.0,0.00012373174956693887
65.0,2,170723.0,170681.0,42.0,0.00024601254663987864,11.0,25.0,0.00014643603966659442,2.0,5.2716974279973994e-05,12,57236.0,0.000401844992661961,56756.0,0.00021143139051377829,56731.0,0.00012338932858578202
65.0,3,170622.0,170562.0,60.0,0.0003516545345852235,8.0,28.0,0.0001641054494731043,2.0,7.033090691704469e-05,9,57066.0,0.0005257070760172432,56603.0,0.00031800434605939613,56953.0,0.00021070005091917897
65.0,4,170242.0,170118.0,124.0,0.0007283749016106484,26.0,26.0,0.0001527237696925553,2.0,7.048789370425629e-05,27,56897.0,0.0013884739089934442,56656.0,0.0005295114374470488,56689.0,0.0002646015981936531
65.0,5,170387.0,170352.0,35.0,0.00020541473234460375,6.0,26.0,0.0001525938011702771,2.0,5.8689923527029644e-05,7,56488.0,0.00033635462399093615,57094.0,0.00017514975303884822,56805.0,0.00010562450488513335
65.0,6,170530.0,170505.0,25.0,0.00014660177094939306,7.0,22.0,0.0001290095584354659,2.0,4.6912566703805784e-05,8,56573.0,0.0002828204267053188,57150.0,0.00012248468941382327,56807.0,3.52069287235728e-05
65.0,7,170611.0,170579.0,32.0,0.00018756117718083827,6.0,23.0,0.0001348095960987275,2.0,5.2751581082110764e-05,7,57052.0,0.0002804459089953025,56740.0,0.00017624250969333803,56819.0,0.0001055984793818969
65.0,8,170489.0,170449.0,40.0,0.000234619242297157,6.0,28.0,0.0001642334696080099,2.0,5.865481057428925e-05,7,56800.0,0.00035211267605633805,56631.0,0.00026487259628118874,57058.0,8.763013074415507e-05
65.0,9,170640.0,170614.0,26.0,0.00015236755743084856,6.0,21.0,0.0001230661040787623,2.0,4.688232536333802e-05,7,56695.0,0.0002822118352588412,57172.0,0.00015741971594486812,56773.0,1.7614006658094517e-05
65.0,10,170306.0,170214.0,92.0,0.0005402041032024708,19.0,19.0,0.00011156389087877115,2.0,5.8717837304616395e-05,20,56245.0,0.001191216997066406,56733.0,0.0003701549362804717,57328.0,6.977393245883338e-05
65.0,11,170788.0,170683.0,105.0,0.0006147972925498278,18.0,32.0,0.00018736679391994753,2.0,8.78281846499754e-05,19,56907.0,0.0011246419596886148,56898.0,0.0005624099265352033,56983.0,0.000157941842303845
65.0,12,170843.0,170799.0,44.0,0.00025754640225236037,7.0,26.0,0.0001521865104218493,2.0,6.438660056309009e-05,8,56957.0,0.00045648471654054814,57172.0,0.0001924018750437277,56714.0,0.00012342631449024932
65.0,13,170461.0,170402.0,59.0,0.0003461202269140742,12.0,23.0,0.00013492822405124927,2.0,4.693155619173887e-05,13,56952.0,0.0005969939598258182,57027.0,0.0003156399600189384,56482.0,0.00012393328848128607
65.0,14,170685.0,170581.0,104.0,0.0006093095468260245,22.0,24.0,0.00014060989542139028,2.0,7.030494771069514e-05,23,57245.0,0.0012402829941479605,56666.0,0.0005294179931528606,56774.0,5.2841089230986015e-05
65.0,15,170166.0,170109.0,57.0,0.0003349670321920948,19.0,21.0,0.00012340890659708756,2.0,4.113630219902918e-05,20,56612.0,0.0006712357803999152,56865.0,0.0002110261144816671,56689.0,0.00012348074582370477
65.0,16,170339.0,170308.0,31.0,0.00018199003164278291,4.0,26.0,0.00015263680073265663,2.0,7.631840036632832e-05,5,56503.0,0.0002477744544537458,56780.0,0.00017611835153222966,57056.0,0.00012268648345485137
65.0,17,170419.0,170395.0,24.0,0.00014082936761746048,7.0,25.0,0.00014669725793485468,2.0,5.281101285654769e-05,8,56697.0,0.00028220188017002664,57005.0,7.016928339619331e-05,56717.0,7.052559197418764e-05
65.0,18,170268.0,170231.0,37.0,0.00021730448469471655,7.0,30.0,0.00017619282542814856,2.0,7.047713017125943e-05,8,56700.0,0.00033509700176366844,56802.0,0.00019365515298757087,56766.0,0.00012331325088961703
